Station Name,(13175) Sealdah - Silchar Kanchanjungha Express,(13017) Ganadevta Express,(12019) Howrah - Ranchi Shatabdi Express,(22387) Black Diamond Express,(22321) Hool Express,(12371) Howrah - Bikaner SF Express,(12317) Akal Takht Express (Via Patna),(12273) Howrah - New Delhi Duronto Express (Via Patna),(13187) Maa Tara Express,(12381) Poorva Express (Via Gaya),(22197) Pratham Swatantrata Sangram Express (Via Patna),(12363) Kolkata - Haldibari Intercity Express,13181/Kaziranga Express,(13053) Kulik Express,(13031) Howrah - Jaynagar Express,(13137) Kolkata - Azamgarh Express,(12337) Shantiniketan Express,(13015) Howrah - Jamalpur Kavi Guru Express,(19607) Kolkata - Madar (Ajmer) Express,(15271) Howrah - Muzaffarpur JanSadharan Express (UnReserved),(12315) Ananya Express (Via Patna),(13025) Howrah - Bhopal Express,(13151) Kolkata - Jammu Tawi Express,(12347) Sahid Express,(12357) Durgiana SF Express,(11448) Shaktipunj Express,(22317) Sealdah - Jammu Tawi Humsafar Express,(12313) Sealdah - New Delhi Rajdhani Express,(12327) Upasana Express (Via Patna),(13167) Kolkata - Agra Cantt Express,(13021) Mithila Express,(12345) Saraighat Express,(13045) Mayurakshi Express,(13105) Sealdah - Ballia Express,(12329) West Bengal Sampark Kranti Express,(12325) Gurumukhi SF Express (Via Patna),(12023) Howrah - Patna Jan Shatabdi Express,(12041) Howrah - New Jalpaiguri Shatabdi Express,(19414) Kolkata - Ahmedabad Express,(13161) Tebhaga Express,(13149) Kanchankanya Express,(12323) Howrah - Barmer SF Express,(22912) Shipra Express,(12319) Kolkata - Gwalior SF Express,Purvanchal Express,(12351) Howrah - Rajendra Nagar Terminal SF Express,(12987) Sealdah - Ajmer SF Express ,(13011) Howrah - Malda Town Intercity Express (via Rampurhat),(13159) Kolkata - Jogbani Express,(22347) Howrah - Patna Vande Bharat Express,(12301) Howrah - New Delhi Rajdhani Express (Via Gaya),(3047) Viswabharati Fast Passenger,(12496) Pratap SF Express,(12383) Sealdah - Asansol SF InterCity Express,(12307) Howrah - Jodhpur Superfast Express,(12339) Coalfield Express,(13179) Sealdah - Siuri MEMU Express,(12177) Howrah - Mathura Chambal Express,(13185) Ganga Sagar Express,(12341) Agnibina Express,(13005) Howrah - Amritsar Mail (Via Patna),(12333) Vibhuti Express (Via Patna),(13147) Uttarbanga Express ,(12938) Garba SF Express,(12359) Kolkata - Patna Garib Rath Express,(13023) Howrah - Gaya Express,(13009) Doon Express,(13019) Bagh Express,(13121) Kolkata - Ghazipur City Express,(12259) Sealdah - Bikaner AC Duronto Express,(13071) Howrah - Jamalpur Express,(12377) Padatik Express,(12311) Netaji Express,(12343) Darjeeling Mail ,(13027) Howrah - Azimganj Kaviguru Express,(22307) Howrah - Bikaner SF Express (Via Prayagraj),(13153) Gour Express ,(12321) Howrah - Mumbai CSMT Mail (Via Gaya),(13043) Howrah - Raxaul Express,(12379) Sealdah - Amritsar Jallianwala Bagh Express,(12331) Himgiri Express (Via Patna),(13029) Howrah - Mokama Express,(13165) Kolkata - Sitamarhi Express
Howrah Jn/ Kolkata Jn/ Sealdah Jn,5:30 AM (SDAH),05:30:00 AM (HWH),06:00:00 (HWH),06:00:00 AM (HWH),06:30:00 AM (HWH),07:00:00 AM (HWH),7:00 AM (KOAA),07:30:00 AM (HWH),7:30 AM (SDAH),08:00:00 AM (HWH),8:00 AM (KOAA),8:00 AM (KOAA),8:30 AM (KOAA),9:30 AM (HWH),9:30 AM (HWH),9:30 AM (KOAA),10:00 AM (HWH),10:00 AM (HWH),10:00 AM (KOAA),10:30 AM (HWH),10:30 AM (KOAA),11:00 AM (HWH),11:00 AM (KOAA),11:30 AM (HWH),11:30 AM (KOAA),12:00 PM (HWH),12:00 PM (SDAH),12:30 PM (SDAH),1:00 PM (HWH),1:00 PM (KOAA),1:00 PM (HWH),1:30 PM (HWH),1:30 PM (HWH),1:30 PM (SDAH),1:30 PM (SDAH),1:30 PM (KOAA),2:00 PM (HWH),2:00 PM (HWH),2:00 PM (KOAA),2:00 PM (KOAA),2:30 PM (SDAH),2:30 PM (HWH),2:30 PM (HWH),2:30 PM (KOAA),2:30 PM (KOAA),3:00 PM (HWH),3:00 PM (SDAH),3:30 PM (HWH),3:30 PM (KOAA),4:00 PM (HWH),4:30 PM (HWH),4:30 PM (HWH),4:30 PM (KOAA),5:00 PM (SDAH),5:00 PM (HWH),5:30 PM (HWH),5:30 PM (SDAH),6:00 PM (HWH),6:00 PM (HWH),6:30 PM (HWH),7:00 PM (HWH),7:30 PM (HWH),7:30 PM (SDAH),8:00 PM (HWH),8:00 PM (KOAA),8:00 PM (HWH),8:30 PM (HWH),9:00 PM (HWH),9:00 PM (KOAA),9:00 PM (SDAH),9:30 PM (HWH),9:30 PM (SDAH),10:00 PM (HWH),10:00 PM (SDAH),10:30 PM (HWH),10:30 PM (HWH),10:30 PM (SDAH),11:00 PM (HWH),11:00 PM (HWH),11:00 PM (SDAH),11:30 PM (HWH),11:30 PM (HWH),11:30 PM (KOAA)
Dankuni Jn,6:00 AM,NA - Main Line,None,NA - Main Line,NA - Main Line,None,None,None,NA - Main Line,None,NA - Main Line,None,None,None,NA - Main Line,NA - Main Line,None,NA - Main Line,NA - Main Line,None,None,None,11:25 AM,None,None,None,None,None,None,None,NA - Main Line,None,NA - Main Line,NA - Main Line,None,None,None,None,None,None,None,None,None,None,NA -Main Line,None,None,NA - Main Line,NA - Main Line,None,None,NA - Main Line,None,NA - Main Line,None,None,NA - Mail Line,None,NA - Main Line,None,None,None,None,None,None,NA - Main Line,NA - Main Line,NA - Main Line,None,None,None,None,None,None,NA - Main Line,None,NA - Main Line,None,NA - Main Line,None,None,NA - Main Line,None
Bardhman Jn,7:15 AM,7:00 AM,None,7:30 AM,8:00 AM,8:10 AM,None,None,9:30 AM,9:10 AM,9:40 AM,9:20 AM,9:50 AM,10:45 AM,11:40 AM,11:20 AM,11:10 AM,11:30 AM,11:45 AM,11:50 AM,11:55 AM,12:10 PM,12:40 PM,12:45 PM,None,1:10 PM,None,None,None,None,3:00 PM,2:40 PM,3:05 PM,3:20 PM,2:55 PM,None,None,3:10 PM,None,3:25 PM,4:00 PM,None,3:35 PM,None,4:10 PM,4:10 PM,4:20 PM,5:05 PM,5:15 PM,None,None,6:10 PM,5:50 PM,6:45 PM,6:10 PM,None,7:30 PM,7:15 PM,8:00 PM,7:40 PM,8:10 PM,8:40 PM,8:55 PM,None,None,9:30 PM,10:10 PM,10:40 PM,None,None,10:45 PM,10:55 PM,11:10 PM,11:25 PM,12:00 AM,11:40 PM,12:30 AM,12:10 AM,12:40 AM,12:20 AM,None,1:45 AM,12:55 AM
Khana Jn,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:05 PM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6:30 PM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2:05 AM,None
Durgapur Jn,None,None,7:40 AM,8:30 AM,8:50 AM,8:55 AM,None,9:10 AM,None,9:55 AM,None,None,None,None,None,12:05 PM,None,None,12:30 PM,12:35 PM,None,12:55 PM,1:35 PM,None,None,1:55 PM,None,2:30 PM,3:00 PM,3:05 PM,3:50 PM,None,3:55 PM,4:25 PM,3:40 PM,None,3:45 PM,None,4:00 PM,None,None,None,4:20 PM,4:30 PM,4:55 PM,4:55 PM,5:05 PM,None,None,5:35 PM,None,None,6:35 PM,7:35 PM,None,7:40 PM,8:30 PM,8:00 PM,8:55 PM,8:35 PM,8:55 PM,9:35 PM,None,None,10:05 PM,None,11:05 PM,11:35 PM,11:10 PM,None,None,None,11:55 PM,None,None,None,None,1:05 AM,1:40 AM,1:05 AM,None,2:50 AM,1:50 AM
Andal Jn,None,None,None,8:50 AM,9:10 AM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1:55 PM,None,None,None,None,None,None,None,4:15 PM,None,4:20 PM,4:45 PM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7:55 PM,None,8:00 PM,9:00 PM,None,None,8:55 PM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3:10 AM,None
Raniganj,None,None,7:55 AM,9:00 AM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12:50 PM,12:55 PM,None,None,2:05 PM,None,None,2:15 PM,None,None,None,None,4:30 PM,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5:15 PM,5:25 PM,None,None,None,None,None,None,8:10 PM,None,8:10 PM,None,None,9:20 PM,9:05 PM,9:15 PM,None,None,None,None,None,11:30 PM,12:00 AM,None,None,None,None,None,None,None,None,None,1:30 AM,None,None,None,3:20 AM,None
Asansol Jn,None,None,8:10 AM,9:15 AM,None,9:30 AM,9:35 AM,9:45 AM,None,10:30 AM,10:55 AM,None,None,None,None,12:40 PM,None,None,1:10 PM,1:15 PM,1:05 PM,1:30 PM,2:25 PM,None,1:55 PM,2:35 PM,2:25 PM,3:00 PM,3:35 PM,3:40 PM,4:50 PM,None,None,5:10 PM,4:15 PM,4:10 PM,4:20 PM,None,4:35 PM,None,None,4:50 PM,5:00 PM,5:05 PM,5:30 PM,5:35 PM,5:45 PM,None,None,6:05 PM,6:25 PM,None,7:10 PM,8:30 PM,7:25 PM,8:35 PM,None,8:35 PM,9:45 PM,9:30 PM,9:35 PM,10:10 PM,None,10:25 PM,10:40 PM,None,11:55 PM,12:20 AM,11:45 PM,None {Asansol (11:05 PM)},None,None,12:30 AM,None,None,12:55 AM,None,1:50 AM,2:15 AM,1:40 AM,1:55 AM,3:45 AM,2:25 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhanbad (11:45 PM),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
